No.	English gloss	Chinese gloss	Proto-Lalo	Lalo, Central-Western (Qingyun)	Lalo, Western (Shanglizhuo)	Lalo, Eastern (Diaocao)	Xuzhang	Mangdi	Eka	Yangliu
399	head	头巾		ʔmɛ⁵⁵n̩²¹ɕɛ³³	ʂʅ²¹ba²¹	ɕu³³tɕi⁵⁵mɔ³³	ɕi³⁵kʰɨ⁵³	a⁵⁵tʃo³³	pʰa²⁴tɕi²¹	m̩²¹tʰə⁵³
400	headdress	饰头巾		ʔmɛ⁵⁵n̩²¹ɕɛ³³	n̩²¹tsɿ²¹liaŋ²⁴mao⁴⁴	ɕu³³tɕi⁵⁵zɔ²¹	ɕi³⁵kʰɨ⁵³sy²¹tsɿ²¹	a²¹ta²¹	ɛ⁵⁵bɛ³³	
401	hat	帽子	*nu²tsi²	n̩²¹tsɿ²¹	n̩³²tsɿ²¹	kʰa²¹tʰu⁵⁵	n̩²¹tsɿ²¹	a²¹tsu²¹	ɛ³³tsu²¹	n̩²¹tsɿ²¹
402	earring	耳环	*ʔna²vaŋ²	ʔnɛo⁵³	na³²wu²¹	na²¹ba²¹	na²¹ba²¹	nu²¹su⁵⁵	na³³vaŋ²¹	na³³vv̩²¹
403	bracelet	手镯	*le̠ᶫgo¹	lɛ̠²¹a²¹wo⁵⁵	le⁵⁵wo³³	lei⁴²gɤ̪²⁴	lɛi³³gv̩˞²⁴	lu²¹gu⁵⁵	lu²¹gu²⁴,lv̩²¹gv̩²⁴	lei⁵⁵go³³
404	ring	戒指	*ku³	tɕɛ⁵⁵tʂʅ²¹	de²¹wo²⁴	lei⁴²ɕi²¹	lɛi³³ʔĩ⁵⁵dy³³lɛ˞⁵³	li²¹ni⁵⁵sɛ³³	lv̩²¹gv̩²⁴la³³tsuɛ⁵⁵jo³¹	kai⁵⁵tsɛ˞³³
405	clothing	衣服	*pʰja(ŋ)¹	pʰu⁵⁵	pʰu²⁴	pʰia⁵⁵	pʰa⁴⁵³	lo²¹pʰa⁵⁵	lo²¹pʰa²⁴	pʰa³³
406	collar	衣领	*pʰja(ŋ)¹kʰjɛ²	pʰu⁵⁵kʰɛ²¹	pʰu²⁴kʰɛ²¹	pʰia⁵⁵kʰɛ²¹tsɿ³³	pʰa³⁵kʰɛ˞²¹	pʰa⁵⁵lu²¹kʰu⁵⁵	lo²¹pʰa²⁴la³³tsuɛ⁵⁵jo³¹	pʰa³³kʰɛ˞²¹
407	sleeve	袖子	*pʰja(ŋ)¹le̠ᶫ	pʰu⁵⁵lɛ̠²¹	pʰu²⁴le⁵³	lei⁴²di²¹	pʰa³⁵lɛi³³	pʰa⁵⁵lɨ²¹ɣɨ²¹	lo²¹pʰa²⁴li̠³¹	pʰa³³nai⁵³
408	button	钮扣	*pʰja(ŋ)¹sɛ²	kʰɨ⁵⁵ta³³	pʰu⁵⁵ʂʅ²¹sɛ²¹	kue⁵⁵	pʰa³⁵kɛ˞²¹sɛ˞²¹	pʰa⁵⁵sɛ²¹	a³³tsu²⁴ɕɛ²¹	pʰa³³sɛ˞²¹
409	palm bark rain cape	蓑衣	*ga¹by¹	gɨ⁵⁵by⁵⁵	ɣa²⁴by²⁴	dʑi²⁴bə²⁴	go²¹by²⁴	ɕi⁵⁵kʰuai⁵⁵	tsu²¹kʰuɛʲ²⁴	ga³³bɨ³³
410	pants	裤子	*ʔla²	ʔla̤²¹	la²¹	lɔ²¹	lo²¹tsʰɿ²¹	lo²¹	lo²¹	la²¹
411	belt	裤带		ʔla̤²¹kʰɨ⁵⁵ɕɛ³³pɛ³³tɕa³³	la²¹kʰv̩³³ʂʅ⁴⁴pa³³tʂã³³	lɔ²¹kʰu⁵⁵sɛ²¹	lo²¹pɛ˞³³ʂʅ²¹	lo²¹po³³tso³³	lo²¹kʰu²⁴	la²¹kʰo³³sɛ˞²¹
412	shoes	鞋	*kʰi¹ne̠ᴴ	kʰɨ⁵⁵nɛ̠³³	kʰɨ⁴⁴ne⁴⁴	tɕʰi⁵⁵nə³³	kʰɨ³⁵nɛi⁵³	kʰɨ⁵⁵nɛ³³	kʰi⁵⁵ni³³	kʰei⁵⁵ni⁵³
413	cloth	布	*ʔmɛ¹	ʔmɛ⁵⁵	mɛ²⁴	pʰiɔ²¹	mɛ˞⁴⁵³	mɛ⁵⁵	mɛ²⁴	pʰiao²¹
414	baby sling	背兜		a⁵⁵kɨ⁵⁵ti³³	dzɿ²¹ti³³	mɛ⁵⁵bu³³	mɛ˞³⁵dzɿ³³	a⁵⁵tso³³	a³³nio⁵³ɛ⁵⁵bɛ³³	ɛ˞⁵⁵vv̩⁵³
415	shoulder bag	肩袋	*ta²la²py³	tɛ̤²¹lɛ̠²¹py³³	ta²¹la(n)²¹py³³	tɔ²¹pə⁵⁵xə⁵⁵	to²¹py³³pɛ˞³³ʂʅ²¹	ta²¹pə³³	ɛ⁵⁵bɛ³³pu²⁴tso²¹	ta²¹pɨ³³
416	blanket (a)	被子	*ʔla²ba²	ʔla²¹ba²¹		lɔ²¹bɔ²¹		la²¹bo²¹	la³³bo²¹	ɛ˞⁵⁵vv̩⁵³la²¹ba²¹
416	blanket (b)	被子	*ʔmɛ¹bo³		mɛ⁴⁴dzɿ⁴⁴		mɛ˞⁴⁵³			
417	pillow	枕头	*nu²ka̠ᶫdu¹	ŋ̩²¹ka̠²¹də⁵⁵	ŋ̩²¹ka⁵⁵dv̩³³	zɿ²¹ka²¹dɤ̪²⁴	ŋ̩²¹ka³³dv˞̩²⁴	i²¹kʰa²¹du⁵⁵	na³³kʰa̠²¹du³³mu²⁴	m̩²¹ka⁵⁵dɤ̪³³
418	mat	(垫)席	*gɨ¹pʰu²	gɨ⁵⁵fv̩²¹	gɨ²⁴fv̩²¹	gə²⁴fɤ̪̠̪⁴²	bo²⁴fv̩˞²¹	sa³³fu²¹	kʰa³³ta̠ʔ²¹za³³	pɛ˞³³fv̩²¹
419	rice powder	米粉	*mu³	dza²¹kʰa⁵⁵mʉ³³	dza²¹kʰa⁴⁴mv̩³³	tɕʰi⁵⁵tɕʰi⁵⁵mə³³	tɕʰi⁵⁵tʰi²¹pʰᶠv̩˞⁵³	dzo⁵⁵mu³³	dzo²⁴muʲ⁵⁵jo³¹	tɕʰi³³fv̩³³ga²¹m̩³³
420	flour	面粉	*mu³	ʂa⁵⁵mʉ³³	hã⁴⁴mv̩³³kʰa³³	sɔ⁵⁵mə³³	ʂo⁵⁵mv̩˞³³	kʰa²¹ɕɛ⁵⁵mu³³	so²⁴muʲ⁵⁵jo³¹	ga²¹m̩³³
421	porridge	粥	*烂饭	dza⁵⁵hə²¹ɣɨ²⁴	dzã⁴⁴hõ²¹	dzɔ²⁴xa²¹	dzo²⁴ha²¹	dzo⁵⁵ma²¹næ³³	dzo²⁴xa̠²¹na⁵⁵jo³¹	dza²¹fv̩²¹la⁵³
422	oil	油	*ʒu¹ɣɨ¹	ʐu⁵⁵ɣ̩ɨ⁵⁵	ʐu²⁴ɣɨ³⁴	zə²⁴	jo²⁴ɣɨ³⁴	la²¹maŋ³³	na²¹maŋ⁵³	zɨ³³
423	lard	动物油	*tsʰɛ¹	tsʰɛ⁵⁵	tsʰɛ²⁴	tsʰɛ⁵⁵	tsʰɛ˞⁴⁵³	xo²¹tsʰɛ⁵⁵	xo³³na²¹maŋ⁵³	tsʰɛ˞³³
424	salt	盐	*tsʰa²bo̠ᴴ	tsʰa²¹bo̠³³	tsʰa²¹bu²⁴	tsʰɔ²¹bu³³	tsʰo²¹	la²¹ba²¹kʰɨ⁵⁵	tsʰa²¹bu³³	tsʰa²¹mi⁵⁵mi⁵³
425	meat	肉	*xa²	xa̤²¹	xa²¹	xɔ²¹	xo²¹	xo²¹	xo²¹	xa²¹
426	soup	汤(菜汤)	*ɣaŋ²ɣi¹	wu²¹tɕɛ̠²¹ɣɨ⁵⁵	wu²¹tɕi⁵⁵ɣɨ³³	ji²⁴tsɿ⁵⁵	ɣa²¹ɣɨ²⁴	a²¹tɕɛ²¹ɣɨ⁵⁵	ɛ²¹ɣɨ²⁴	m̩²¹m̩³³
427	liquor	酒	*dʒi¹	dʐʅ⁴⁵	dʐʅ²⁴	dzɿ²⁴bɛ²¹	dʐʅ²⁴	dʑi⁵⁵	dʑi²⁴	dzɿ³³
428	tea	茶(茶水)	*la²	la̤²¹ɣɨ⁵⁵	la²¹pʰɛ⁵³	lɔ²¹ʝi²⁴	sɿ³³pʰɛi³³	la²¹pʰo²¹	la²¹	la²¹ɣɨ³³
429	sugar (a)	糖	*ʃa¹ba²	ʂa⁵⁵ba²¹				bɨ²¹tʃʰɿ⁵⁵	pɨ²¹tsʰɿ²⁴	
429	sugar (b)	糖	*ʃa¹da²		ʂa⁵⁵da²¹	sɔ⁵⁵ta²¹	tʂʰʅ³⁵mv̩˞²¹			
430	jaggery	红糖	*ʃa¹da²(ʔni¹)	ʂa⁵⁵da⁵⁵	ʂa⁵⁵da²¹ĩ⁴⁴	xɔ²¹tʰa²¹	tʂʰʅ³⁵mv̩˞²¹	bɨ²¹tʃʰɿ⁵⁵tɛ³³	pɨ²¹tsʰɿ²⁴ni²⁴	
431	saw	锯子	*ɣi̠ᶫtsy³	ɣɨ̠²¹tsy³³	ɣɨ⁵⁵tɕy³³	ʝi⁴²tsə³³	ɣɨ³³tɕy³³	ɣɨ²¹tsə³³	lɛʲ³³,lẽ³³	ɣɨ⁵⁵tsɿ³³
432	knife	刀	*a¹tʰa²	a⁵⁵tʰa̤²¹	a⁵⁵tʰa²¹	a⁵⁵tʰɔ²¹	a³⁵tʰo²¹	a⁵⁵tʰo²¹	a²⁴tʰo²¹	a⁵⁵tʰa²¹
433	kitchen knife	菜刀	*a¹tʰa²ba²	a⁵⁵tʰa̤²¹ba̤²¹	a⁵⁵tʰa²¹ba²¹	ja²¹ɣə²⁴a⁵⁵tʰɔ²¹	a³⁵tʰo²¹bo²¹tao³³	a⁵⁵tʰɛ²¹lɛ²¹	a²⁴tʰo³³pʰa̠³³pʰaʲ⁵⁵jo³¹	bo³³tao³³
434	pointed knife	尖刀	*a¹tʰa²le̠ᶫ	a⁵⁵tʰa̤²¹lɛ̠²¹	a⁵⁵tʰa²¹le⁵³	a⁵⁵tʰɔ²¹nei⁴²	a³⁵tʰo²¹n̩²¹tɕʰy⁵³	a⁵⁵tʰɛ²¹lɛ²¹n̩²¹də⁵⁵pu⁵⁵	a²⁴tʰo³³nio⁴²	a⁵⁵tʰa²¹tʰi³³
435	sickle	镰刀	*n̩²tsʰo̠ᴴ	liaŋ⁵⁵tao³³	pa²¹lĩ²¹	sei³³n̩²¹tsʰu³³	pa²¹lɛi²⁴	n̩²¹tʃʰu³³	kʰi⁵⁵kʰa²⁴	n̩²¹tsʰu⁵³
436	hatchet	斧头	*a¹tsʰo̠ᴴ	a⁵⁵tsʰo̠³³	a⁴⁴tsʰu³³	a⁵⁵tsʰu³³	a³³tsʰu³³	a⁵⁵tʃʰu³³	a²⁴tsu⁵⁵kʰuʲ⁵⁵jo³¹	a⁵⁵tsʰu⁵³
437	hoe (large)	锄头	*tse²	tsi²¹tsʰo̠³³	tsei²¹tsʰu³³	tsei²¹mɔ³³	tsɛi²¹tʂʰɛ˞³³	tɕɛ²¹mo³³	tɕʰi²¹tsʰu³³	tsai²¹
438	plow	犁	*si̠ᴴgo̠ᶫ	sɿ̠³³wo̠²¹	sɿ̠³³wo⁵³	ɕi³³gu⁴²	sɿ̠³³gu³³	mo²¹kʰi²¹	tʰaʲo⁵³, tʰa⁵⁵jɔ²¹	so³³ko⁵³
439	yoke	牛轭	*la²le̠ᴴ	la̤²¹lɛ̠³³	la²¹lɛ³³	lɔ²¹lei³³	lo²¹lɛi³³	i⁵⁵kai⁵¹	a²⁴ni²¹ɛ²⁴	a⁵⁵ni⁵⁵wan²¹taŋ³³
440	thing	东西	*dʒe¹ku¹	xa⁵⁵ŋa⁵⁵	dʑi²¹v̩²¹	dʑi²¹tsɛ³³kɤ̪⁵⁵	tɕʰĩ⁵⁵tɕʰĩ⁵⁵ja³³	kʰo⁵⁵mo³³	kʰõ³³kʰə²¹	dzɛ˞⁵⁵ko³³
441	loom	织布机		dzɛ̠³³	mɛ˞⁵⁵dɛ²¹	pʰiɔ²¹dzɿ³³lɔ³³	mɛ˞³⁵tʂʰɛ˞²¹lɛ˞⁵³	dzaŋ²¹, koŋ²¹	goŋ²¹,mɛ²⁴tɕɛ²¹lu²⁴	ʝi⁵³
442	needle	针	*ɣy̠ᶫ	a⁵⁵jø̠²¹	a²¹wu⁵³	ɣə⁴²	a³³wu³³	wɑ̠²¹	ɣɨ̠ʔ²¹	a⁵⁵ɣɨ⁵³
443	awl	锥子		tɕao̠²¹sa³³		zɿ³³zɔ²¹	xu³⁵tɕy³³	mo⁵⁵wo̠²¹	mɛ⁵³jɔ²¹	tsuei³³tsɿ³³
444	thread	线(缝衣用的)	*kʰi¹	kʰɨ⁵⁵	kʰɨ²⁴	xɔ²⁴xə³³	kʰɨ⁴⁵³	kʰi⁵⁵tso³³	kʰi⁵⁵tso̠³³	kʰɨ³³
445	thread ball	线球		kʰɨ⁵⁵ʔly³³	kʰɨ²⁴tɛ³³	xɔ²⁴xə³³kʰɔ³³	kʰɨ⁴⁵³tʰɛ˞³³ø³³	kʰi⁵⁵tso³³sɛ²¹	kʰi⁵⁵tso̠³³dɛ²¹	kʰɨ³³tʰɛ˞²¹
446	rope	绳子		i⁵⁵tsʰɿ⁵⁵	he⁴⁴tsʰɿ⁴⁴	xə³³tɕi⁵⁵	hɛ˞̃⁴⁵tsʰɿ⁵³	po³³tso³³	pi⁵⁵tso³³	vɛ˞³³tsa³³
447	chain	链子	*ʃo̠ᴴ		kʰɨ⁴⁴ʂu⁴⁴	xə⁵⁵su³³	xu³⁵ʂu³³	tɕɛ⁵⁵mo³³	lu²⁴ku³³tɕɛ²¹	xɨ³³so⁵³
448	horse whip	鞭子(马鞭子)	*la²kʰo̠ᴴ	lei⁴⁵pʰi²¹	la²¹kʰu⁴⁴pʰa²¹	lɔ²¹də²⁴	a³⁵ɲi²¹lo²¹ti⁵⁵pʰa²¹	tso⁵⁵wai⁵⁵	tsoŋ³³	la²¹ti³³
449	winnowing basket	簸箕(簸米用)	*ʔva¹	ʔva⁵⁵ma³³	le⁴⁴va⁴⁴	ɔ⁵⁵mɔ³³	lɛi³³o⁵³	o⁵⁵mo³³	o²⁴mo³³	oaŋ³³
450	bamboo sieve	筛子(细的)	*ʔva¹kɨ¹	ʔva⁵⁵kʰɨ⁵⁵tsɿ³³	va⁴⁴kɨ⁴⁴	ɔ⁵⁵tɕi⁵⁵ku⁵⁵	ɤ⁵⁵ku⁵⁵tɕi⁵³	oŋ⁵⁵ki⁵⁵	o²⁴ki²⁴	aŋ²¹kɨ³³
451	whetstone	磨刀石	*a¹tʰa²sɛ²ka¹lu̠ᴴ	a⁵⁵tʰa̤²¹sɛ²¹ka⁵⁵lə³³	ɸu²⁴sɛ²¹lu³³	a⁵⁵tʰɔ²¹sɛ²¹ku⁵⁵lu³³	lu³⁵sa²¹mɛi²⁴	a⁵⁵tʰo²¹sɛ²¹ko⁵⁵lu³³	a²⁴tʰo³³ɕɛ²¹o²⁴lo³³kʰɛ³³	xɨ³³sɛ²¹lo⁵³
452	millstone	石磨	*ni̠ᶫ	ɲiɛ̠²¹lə²¹	nø⁵³	ku⁵⁵lu³³wei²¹	ɲi̠³³	mo⁵⁵	moŋ²⁴	wai⁵³
453	hammer	锤子		tɕʰue²¹		tsʰue²¹	xu³⁵tɕʰuɛ²¹tɕʰuɛ²¹	tɛ²¹lu⁵⁵	a²⁴tsu⁵⁵kʰuʲ⁵⁵jo³¹	xɨ³³tsʰuən²¹
454	chisel	凿子		tso³³tsɿ³³		zɿ³³zɔ²¹	xu³⁵tʂʰʅ²¹	xɨ⁵⁵tʰɛ²¹	dzuʲo⁵³	
455	rice huller	碓	*tsʰy¹	tsʰi⁵⁵lə²¹	kʰɨ⁴⁴tɛ²¹	fɛ²¹tsʰə⁵⁵	tɕʰi³⁵kʰɨ⁵⁵mɛi³³	kʰo²¹naŋ²¹	kʰu³³naŋ²¹	tsʰə³³
456	rice pounder	米臼		tsʰa²¹lu²¹	tsa⁴⁴la⁴⁴be⁴⁴	lei⁴²tsʰə⁵⁵	tsʰao²¹py⁵⁵kv̩³³	kʰo²¹, kʰoŋ²¹	tɕʰi³³nɛ²⁴	lei⁵⁵tsʰə³³
457	mortar	臼		tsʰa²¹lu²¹	tsʰa²¹tsu⁴⁴pʰɛ²¹	tsʰɔ²¹tei²¹tsʰə⁵⁵	tsʰo²¹dɛi²¹gɨ⁴⁵³	ma⁵⁵pʰiŋ²¹kʰoŋ²¹	tsʰa³³bio⁵³	tsʰa²¹tsʰo³³
458	pestle	杵		tsʰa²¹ti²¹sɿ³³	tsʰa²¹tsu⁴⁴vv̩²¹ma³³	tei²¹m̩³³pə²¹		ma⁵⁵pʰiŋ²¹kʰoŋ²¹liŋ²¹tsʰɿ⁵⁵	tsʰa³³bio⁵³ɣɨ²¹do²⁴	tsʰa²¹tsʰo³³bi⁵⁵bi⁵³
459	medicine	药	*nɛ̠/e̠ᴴtsʰi²	ʔnɛ̠³³tsʰɿ²¹	nɛ⁴⁴tsʰɿ²¹	nɛ³³tɕʰi²¹	nɛ³³tsʰɿ²¹	na³³tɕʰi²¹	na³³tɕʰi²¹	nɛ˞⁵⁵tsʰɿ⁴¹
459	medicine	药	*nɛ̠/e̠ᴴtsʰi²	ʔnɛ̠³³tsʰɿ²¹	nɛ⁴⁴tsʰɿ²¹	nɛ³³tɕʰi²¹	nɛ³³tsʰɿ²¹	na³³tɕʰi²¹	na³³tɕʰi²¹	nɛ˞⁵⁵tsʰɿ⁴¹
460	bamboo basket	箩筐(背东西用)		kʰa³³lə⁵⁵	da²¹wo²⁴	kʰa³³tɕʰi⁵⁵	ty³⁵ø³³	kʰa³³lu⁵⁵, kʰa³³dʒu²¹	ko³³ta⁵⁵la²¹	pɛ˞³³lo³³
461	broom	扫帚	*gɨ¹si̠ᴴ	gɨ⁵⁵sɿ̠³³	gɨ²⁴sɿ⁴⁴	mə⁵⁵sɿ³³	gɛ˞²⁴sɿ³³	gɨ⁵⁵sɿ³³	ɣɨ²⁴sɿ̠³³	gɛ˞³³sɿ⁵³
462	wok	锅(炒菜的)	*a²tʃʰɛ¹	a⁵⁵tɕʰɛ⁵⁵	a⁴⁴tʂʰɛ⁴⁴	a⁵⁵tsʰɛ⁵⁵	a³³tʂʰɛ˞⁴⁵³	a⁵⁵tsʰa⁵⁵pɛ³³	a²⁴tɕʰɛ²⁴	a²¹tsʰɛ˞³³
463	tub	桶	*ɣɨ¹tʰu²	ɣɨ⁵⁵tʰə̤²¹	ɣɨ²⁴tʰv̩²¹	tʰɤ̪²¹	ɣɨ²⁴tʰv̩²¹	tʰoŋ²¹	xa³³tʰuŋ⁵³	ɣɨ³³tʰɤ̪²¹
464	barrel	土罐	*ʔnu¹	ə⁵⁵lə⁵⁵pi⁵⁵	pɛ²⁴	ɤ̪⁵⁵	ɤ̪˞̃³⁵ø³³	tʰaŋ⁵³	o³³muʲo⁵³	õ³³
465	washbasin	盆	*laŋ²	pʰu²¹ʔmɛ³³tsʰɿ²¹pʰu̥²¹	lu²¹	pʰu²¹mei³³tɕʰi²¹la²¹	pʰa²¹tsʰɿ²¹la²¹	pan²¹doŋ³³	va³³pʰaŋ²¹	pʰa²¹ni⁵⁵tsʰɿ²¹lo²¹
466	bag	袋子	*la¹ʔli̠ᶫ	pa̠²¹kʰɛ ̥²¹	dzɿ²¹nv̩⁴⁴	mɛ⁵⁵li²¹	lo³⁵ʐʅ³³	mɛ³³nɛ³³	tʰu³³tai²⁴	dzɿ²¹no³³
467	comb	梳子	*m̩²pjɨ²	m̩²¹pʉ²¹tɕɛ̠³³	m̩²¹pə²¹	m̩²¹pə²¹tɕi³³	m̩²¹pɨ²¹	ŋ²¹pɨ²¹	ɛ³³pɨ²¹	m̩²¹pai²¹
468	fine toothed comb	细密梳子	*m̩²pjɨ²dzi¹	m̩²¹pʉ²¹dzɿ⁵⁵	m̩²¹pɛ²¹dzɿ²⁴	m̩²¹pə²¹tɕi³³zɔ²¹	m̩²¹pɨ²¹ɕi⁵⁵zo²¹	ŋ²¹pɨ²¹dʑi⁵⁵	ɛ³³pɨ²¹dʑio⁵³	m̩²¹pai²¹mo⁵³
469	bowl	碗	*a¹kje²	a⁵⁵kai²¹	a⁵⁵kai²¹	kei²¹	a⁵⁵qai²¹	i⁵⁵ɕɛ²¹	ku⁵⁵ɕi²¹	a⁵⁵kai⁴¹
470	small bowl	小碗	*a¹kje²za²	a⁵⁵kai²¹	a⁵⁵kai²¹za²¹	kei²¹zɔ²¹	a⁵⁵qai²¹tɛ˞³³zo²¹	i⁵⁵ɕɛ²¹jo²¹	ku⁵⁵ɕi³³jo³¹	a⁵⁵kai⁴¹za²¹
471	large bowl	大碗		pa⁵⁵tʰu³³	a⁵⁵kai²¹pa²¹tɛ²¹	pa⁵⁵	a⁵⁵qai²¹ti³³mo³³	i⁵⁵ɕɛ²¹mo³³	ku⁵⁵ɕi²¹vaŋ²⁴ko²¹	a⁵⁵kai⁴¹ɣɛ˞²¹
472	chopsticks	筷子	*a¹dʒu³	a⁵⁵ɖʐə³³	a⁵⁵dʐv̩³³	a⁵⁵dzu³³	a⁵⁵dʐɤ̪˞³³	a⁵⁵dʒu³³	a²⁴dzu³³	a⁵⁵dzə³³
473	bed	床	*gy²	gyn²¹	gu²¹dzu³³	pʰu⁵⁵	gv̩˞²¹lv̩˞²⁴kʰɨ⁵³	go²¹tsa³³	ta̠ʔ²¹kʰi²⁴	gɨ²¹
474	ladder	梯子	*de̠ᴴgo̠ᶫ	dɛ̠³³wo̠²¹	dei⁴⁴wo⁵³	tɕiɛ⁵⁵n̩²¹tʰei⁵⁵	dɛi³³gu²¹	dɛ³³gu²¹	gaŋ²⁴gɨ̠²¹	di⁴⁵gɨ²¹
475	firewood	柴	*si̠ᴴ	sɿ̠³³	sɿ⁴⁴	ɕi³³	sɿ⁴⁵³	ɕi³³	ɕi̠³³	sɿ⁵³
476	manure	粪(肥料)	*kʰi²	kʰɨ̥²¹	kʰɨ²¹	tɕʰi²¹	kʰɨ²¹	kʰi²¹	kʰɨ²¹	kʰɨ²¹
477	road (a)	路	*gja¹ma³	ga⁵⁵ma³³	ga²⁴ma³³	gɔ²⁴mɔ³³	gu²⁴mu³³	go⁵⁵kɑ³³	go²⁴mo³³	
477	road (b)	路	*gja¹ka³			gɔ²⁴kə³³		go⁵⁵kɑ³³		
477	road (c)	路	*ka³kɨ̠ᴴ						ka²⁴kə³³	ka³³kɨ⁵³
478	bridge	桥	*dzy¹	dzy⁵⁵	dʑy²⁴	dzə²⁴	to²¹dʑy²⁴	ɣɨ⁵⁵dʑɛ⁵⁵	gaŋ²⁴gɨ̠²¹	dzə²¹dzə³³
479	market	街子(市场)	*dʒi³	dʐʅ³³	dʐʅ³³	dzɿ³³		ba⁵⁵dʑi³³	dʑi³³	kai³³tsɿ³³
480	money	钱	*gi²pʰe²	gɨ²¹pʰi²¹	ga²¹pʰe²¹	ʝi²¹mɔ³³	gɨ²¹pʰɛi³³, gɨ²¹pa³³	pʰi⁵⁵dʑɛ²¹	na²⁴dʑi²¹	ɣɨ³³ma³³
481	price	价钱(价格)	*pʰo²	fi²¹	tsʰɿ²¹	pʰə²¹	ja³³tsʰɿ²¹	jɛ²¹pʰi²¹	ɛ³³pʰɨ²¹	pʰu²¹
482	folksong	民歌/山歌		bɛ⁵⁵tsʰɛ⁵⁵	hẽ⁴⁴kv̩³³tʂɛ³³	kɔ³³tɕʰi⁵⁵	xai³⁵ko³³	bɛ⁵⁵ko³³	go²⁴mu²⁴	xai⁵³
483	song	歌		ko³³	ko³³		ko³³	ko³³		tsʰaŋ³³ku³³
484	story	故事		ko²¹pʉm²¹	ku²¹pə̃²¹	ku²¹pə²¹	ku⁵⁵tɕĩ³³	kam³³pɨm³³	ɛ²¹ku⁵³	ku²¹sɿ³³
485	word (written)	字		tʰiau²¹tsɿ⁵⁵	tʰiu²¹tsɿ⁴⁴	tsɿ⁵⁵	tʰa²¹ɣɨ²¹tsɿ⁵⁵	su²¹tu⁵⁵	su²¹mi³³	sɤ̪²¹
486	speech	话	*ɣɛ¹ʔli¹	vɛ⁵⁵	ɣɛ²⁴ʐʅ³³	ɣɔ²⁴li⁵⁵	gv̩˞²⁴ʐʅ⁵³	da²¹	da²¹,kʰe²¹	bei⁵⁵ŋɛ³³
487	voice (a)	声音	*se̠ᶫ	sɛ̠²¹	se⁵⁵ɣɨ³³		sɛi³³	ɕɛ²¹tʰə⁵⁵		
487	voice (b)	声音	*kʰo²tʰy¹			kʰu²¹tʰei³³		ɕɛ²¹tʰə⁵⁵	kə²¹tʰə²⁴	kʰo²¹tʰə³³
488	book	书	*tʰo²ɣu²	tʰiau²¹pʉm²¹	tʰiu²¹pə̃²¹	tʰa²¹ji²¹pə²¹	tʰa²¹ɣɨ²¹bɨ̃ŋ²¹			
489	name	名字	*ʔmi¹	ʔmi⁵⁵	ĩ⁵³	mi⁵⁵	mĩ²¹tsɿ⁵⁵	mi⁵⁵kʰu⁵⁵	ɛ²¹tsɿ³³	mi⁴⁴ʂɛ⁵³
490	dream	梦	*ʒi̠ᶫʔme̠ᴴ	ʐʅ²¹ʔmɛ̠³³	ʐʅ̃n⁵³(kʰuai³³)	zɿ²¹mei³³	ʐʅ²¹mo³³	i²¹mɛ³³kʰa⁵⁵	ɛ²¹mə³³	zɿ⁴⁵m̩⁴³kʰa³³
491	shadow	影子	*a¹ɣɨ³	li⁵⁵ɣɨ³³	a⁴⁴ɣɨ³³	a⁵⁵ɣə³³zɔ²¹	a³⁵ɣɨ³³lɨ³³	xo⁵⁵ɣɨ³³	ba²⁴ɣɨ³³	ha⁵⁵ɣɨ³³
492	deity	神	*ɣi¹sa¹	ɲi̤²¹	nɛ²¹		nɛi²¹	nɛ²¹	ɣɨ²⁴so²⁴	
493	God	上帝	*ɣi¹sa¹	n̩²¹ɕi⁵⁵	n̩²¹dɛ²¹ɣɨ²⁴sa³⁴			i⁵⁵sɛ³³mo³³tso³³	ɣɨ²⁴so²⁴	ɣɨ³³sɛ˞³³
494	soul (1)	魂	*ha¹	ha⁵⁵	hã²⁴	tsʰa⁵⁵xɔ⁵⁵	hõ⁴⁵³	a⁵⁵ɣɨ³³	ɛ²¹xo²⁴	ha⁵⁵ɣɨ³³
495	spirit (evil)	鬼	*ne²	la̤²¹kɨ³³	la²¹kɨ³³	nei⁴²	ʐa²¹tʂa²⁴	pʰɛ⁵⁵	niŋ²¹	nai²³¹
496	boundary marker	边界记号		kɛ⁵⁵tɕʰi²¹a²¹gə⁵⁵	kʰɨ⁴⁴tv̩²¹	tɕi³³xu³³	gɨ²⁴	jɛ²¹dʑi²¹	kɨ²¹kəŋ⁵³	kai³³ɕĩ⁵³
497	fence	栅栏	*kʰy¹	kʰy⁵⁵	kʰu⁴⁴tʂʰa²¹	la²⁴ka⁵⁵tsɿ³³	kʰu³⁵ba²¹	kʰə⁵⁵pɨ³³	a²⁴kɨ²⁴	pʰi³³sa⁵³
498	gun	枪		tsʰiaŋ⁵⁵	py²¹	tsʰv̩⁵⁵	kʰv̩˞²¹m̩²¹tʰy³³	a⁵⁵to²¹ma²¹	naŋ⁵³	tɕʰiaŋ³³
499	bow	弓	*ta̠ᶫnɛ³	ta²¹na³³	ta²¹nɛ²⁴	tɛ⁴²nɛ³³	tɛ˞³³nɛ˞³³	ta²¹na̠³³	tsa̠²¹na̠²²	tɛ˞⁵⁵no³³
